symbol,time,pattern,direction,entry,stop,stop_pips,baseline,baseline_mfe,cf_max_R_480,cf_min_R_480,sl_bar,hit_0.5R_bar,hit_1R_bar,hit_1.5R_bar,hit_2R_bar,hit_2.5R_bar,hit_3R_bar,hit_4R_bar,hit_5R_bar,min_R_after_1_before_2,lock1_after2_target2.5_R,lock1_after2_target2.5_why,lock1_after2_target3_R,lock1_after2_target3_why,lock1_after2_target4_R,lock1_after2_target4_why,lock1_after2_target5_R,lock1_after2_target5_why
GBPUSD,2019-01-24T00:30:00+00:00,BULL_FLAG,LONG,1.30926,1.3075500000000002,17.099999999998783,LOSS,0.0701754385964365,7.286549707602808,-4.7134502923981,6.0,93,93.0,93.0,93.0,114.0,155.0,156.0,166.0,0.040935672514631274,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2019-01-24T23:30:00+00:00,BULL_FLAG,LONG,1.30801,1.3060465,19.63500000000007,WIN,2.4446142093201533,6.982429335371333,-1.3343519225872837,277.0,1,1.0,1.0,1.0,22.0,63.0,63.0,74.0,0.6722689075632058,1.0,LOCK,1.0,LOCK,1.0,LOCK,1.0,LOCK
EURUSD,2019-08-05T11:45:00+00:00,BULL_FLAG,LONG,1.11795,1.11585175,20.98249999999968,WIN,2.220898367687444,3.345645180507629,-0.8387942332896511,,9,18.0,20.0,44.0,45.0,47.0,,,0.6719885618967867,2.5,TARGET,3.0,TARGET,1.0,LOCK,1.0,LOCK
EURUSD,2019-08-05T23:00:00+00:00,BULL_FLAG,LONG,1.12309,1.1212000000000002,18.89999999999725,LOSS,0.9947089947091944,0.9947089947091943,-3.650793650794132,19.0,2,,,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-06T05:45:00+00:00,BULL_FLAG,LONG,1.24988,1.24902,8.60000000000083,LOSS,0.5813953488370892,19.802325581393298,-4.255813953487958,3.0,1,4.0,22.0,24.0,119.0,120.0,124.0,128.0,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-09T06:00:00+00:00,BULL_FLAG,LONG,1.26384,1.262601,12.390000000002122,LOSS,1.1299435028245408,2.477804681194456,-12.808716707021935,7.0,3,4.0,15.0,15.0,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-21T07:00:00+00:00,BULL_FLAG,LONG,1.27053,1.267665,28.64999999999896,LOSS,0.3699825479930539,6.942408376963591,-2.153577661431146,3.0,28,31.0,31.0,43.0,316.0,317.0,358.0,367.0,0.8446771378709169,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-21T17:30:00+00:00,BULL_FLAG,LONG,1.27555,1.27334225,22.077499999999528,LOSS,0.5616577963991196,8.923111765372198,-5.068508662665733,9.0,2,274.0,275.0,291.0,316.0,319.0,325.0,355.0,0.8153097044502603,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-27T02:30:00+00:00,BULL_PENNANT,LONG,1.28402,1.28208,19.399999999998307,LOSS,0.9381443298970688,16.99484536082631,-1.7319587628867643,13.0,1,31.0,33.0,48.0,49.0,49.0,141.0,145.0,0.05154639175257614,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-27T22:45:00+00:00,BULL_FLAG,LONG,1.28912,1.28792725,11.927499999999648,LOSS,0.0083839865856766,23.36617061412776,-4.4686648501364195,2.0,10,10.0,59.0,60.0,60.0,60.0,64.0,73.0,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-28T15:45:00+00:00,BULL_PENNANT,LONG,1.29486,1.29136175,34.98249999999814,LOSS,0.1114843135854021,6.326020152934005,-1.057671692989355,39.0,63,84.0,105.0,173.0,181.0,183.0,204.0,225.0,-0.12863574644461184,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-29T12:45:00+00:00,BULL_FLAG,LONG,1.2979,1.2955375,23.62500000000045,LOSS,0.6730158730158519,8.080423280423148,-1.4772486772486462,9.0,2,21.0,88.0,92.0,97.0,99.0,113.0,127.0,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2020-07-30T09:30:00+00:00,BULL_FLAG,LONG,1.30035,1.29729725,30.52749999999937,WIN,2.0145770207190976,5.870117107526173,-0.74031610842682,,8,14.0,16.0,20.0,31.0,44.0,58.0,106.0,0.868069773155383,1.0,LOCK,1.0,LOCK,1.0,LOCK,1.0,LOCK
GBPUSD,2020-07-30T18:45:00+00:00,BULL_FLAG,LONG,1.309,1.307143,18.56999999999997,WIN,2.477113624125022,5.142703284868165,-5.8750673128702156,101.0,7,18.0,20.0,21.0,29.0,69.0,77.0,445.0,0.9477652127086624,2.5,TARGET,1.0,LOCK,1.0,LOCK,1.0,LOCK
GBPUSD,2020-10-01T05:45:00+00:00,BULL_FLAG,LONG,1.29423,1.29337,8.599999999998609,LOSS,0.8953488372093744,7.523255813952735,-14.325581395347324,5.0,2,23.0,23.0,23.0,23.0,23.0,27.0,223.0,2.069767441860399,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2021-05-03T04:15:00+00:00,BEAR_FLAG,SHORT,1.20181,1.20251,6.999999999999229,LOSS,0.7285714285715237,4.600000000000508,-22.68571428571663,10.0,7,109.0,109.0,114.0,115.0,202.0,203.0,,-0.5428571428572697,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2021-05-04T08:45:00+00:00,BEAR_FLAG,SHORT,1.20032,1.20231,19.899999999999363,LOSS,0.2160804020101338,0.8693467336683742,-8.793969849246437,13.0,88,,,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2021-05-05T06:45:00+00:00,BEAR_FLAG,SHORT,1.19996,1.2018399999999998,18.799999999998818,LOSS,0.7287234042552966,0.7287234042552966,-9.675531914894306,16.0,1,,,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
